fid,Project Na,ProjectID,Registry N,Methodolog,Project Ty,Country,Project De,Project St,Project En,Date of En,Processing,PD Decline,Geometry T,Project Ar,Project Ac,Project Re
98,Regional Natural Park:Biological Corridor PNN Purace-PNN Cueva de Los Guacharos,VCS1765,Verra,VM0015,AD,Colombia,Corporacion Autonoma Regional del Rio Grande de La Magdalena - Cormagdalena,03/08/2014,03/07/2044,10/24/2023,Georeferenced,Yes,Polygon,"MULTIPOLYGON (((-76.295146 1.718177, -76.294888 1.718048, -76.294501 1.71779, -76.294289 1.717578, -76.296889 1.71895, -76.296822 1.71895, -76.296564 1.718822, -76.296048 1.718564, -76.295661 1.718435, -76.295404 1.718306, -76.295146 1.718177)), ((-76.29",,
99,"Restoration of Degraded Areas and Reforestation in Caceres and Cravo Norte, Colombia",VCS576,Verra,AR-AM0005,ARR,Colombia,Swiss Carbon Value Ltd.,02/02/2002,02/01/2032,10/26/2023,Georeferenced,Yes,Polygon,"MULTIPOLYGON (((-70.353112 6.450915, -70.346354 6.45301, -70.340934 6.454637, -70.33826 6.455901, -70.335622 6.455504, -70.343102 6.442603, -70.346318 6.436858, -70.347836 6.431148, -70.34827 6.429305, -70.350438 6.425114, -70.352714 6.420018, -70.347475",,
100,Rincco Carbon,ER59,EcoRegistry,AR-ACM0003,ARR,Colombia,Forestry Consulting Group SAS,05/01/2008,04/30/2035,08/16/2023,Official,N/A,Polygon,"MULTIPOLYGON Z (((-75.81325 5.692501 0, -75.81333 5.692437 0, -75.813416 5.692435 0, -75.813543 5.692464 0, -75.813665 5.6925 0, -75.813822 5.69251 0, -75.813937 5.692515 0, -75.814066 5.692565 0, -75.814195 5.692568 0, -75.814259 5.69258 0, -75.8143 5.6",,
101,Rio Pepe Y ACABA REDD+ Project,VCS1396,Verra,VM0006,AD,Colombia,EcoPartners,12/01/2014,12/01/2044,08/16/2023,Official,N/A,Polygon,"POLYGON ((-76.830014 5.390446, -76.829488 5.390209, -76.828653 5.390142, -76.82746 5.38998, -76.826458 5.389745, -76.825693 5.38939, -76.825401 5.389078, -76.824782 5.388414, -76.824493 5.387579, -76.824321 5.386528, -76.824196 5.385286, -76.824185 5.384",,
102,Riscales REDD+ Project,VCS1806,Verra,VM0007,AD,Colombia,Consejo Comunitario General Los Riscales,01/01/2014,12/31/2043,10/24/2023,Georeferenced,Yes,Polygon,"MULTIPOLYGON Z (((-77.204602 5.658509 0, -77.204178 5.658085 0, -77.20367 5.657916 0, -77.203163 5.656985 0, -77.202739 5.656561 0, -77.202485 5.656053 0, -77.202147 5.655799 0, -77.201808 5.655461 0, -77.201215 5.654783 0, -77.200623 5.654529 0, -77.200","MULTIPOLYGON Z (((-77.204178 5.658085 0, -77.20367 5.657916 0, -77.203163 5.656985 0, -77.202739 5.656561 0, -77.202485 5.656053 0, -77.202147 5.655799 0, -77.201808 5.655461 0, -77.201215 5.654783 0, -77.200623 5.654529 0, -77.200115 5.654275 0, -77.199",
103,SKCarbon,ER46,EcoRegistry,AR-ACM0003,ARR,Colombia,Forestry Consulting Group SAS,07/01/2010,06/30/2039,08/16/2023,Official,N/A,Polygon,"MULTIPOLYGON (((-75.591991 4.566916, -75.591886 4.566882, -75.591885 4.566886, -75.591828 4.566911, -75.591645 4.566901, -75.591633 4.5669, -75.591622 4.566878, -75.591621 4.566877, -75.591619 4.566874, -75.591618 4.566872, -75.591616 4.56687, -75.591614",,
104,Santa Ines Carbon,ER97,EcoRegistry,AR-ACM0003,ARR,Colombia,Forestry Consulting Group SAS,03/01/2013,06/30/2037,08/16/2023,Official,N/A,Polygon,"MULTIPOLYGON (((-75.142484 9.919814, -75.142555 9.91967, -75.142609 9.919643, -75.142658 9.919618, -75.14275 9.919586, -75.142849 9.919562, -75.143006 9.91951, -75.143157 9.919481, -75.143219 9.919472, -75.143252 9.919484, -75.143291 9.919498, -75.143456",,
105,Siviru-Usaraga-Pizarro-Piliza (SUPP) REDD+ Project,VCS1391,Verra,VM0006,AD,Colombia,SUPP,10/26/2013,10/25/2043,10/26/2023,Georeferenced,Yes,Polygon,"MULTIPOLYGON (((-77.148809 4.843948, -77.144367 4.844154, -77.143885 4.843009, -77.14345 4.841601, -77.142899 4.840815, -77.142158 4.840389, -77.140347 4.84023, -77.139322 4.839948, -77.138723 4.83921, -77.139031 4.83873, -77.140525 4.837338, -77.140538","MULTIPOLYGON (((-77.144367 4.844154, -77.143885 4.843009, -77.14345 4.841601, -77.142899 4.840815, -77.142158 4.840389, -77.140347 4.84023, -77.139322 4.839948, -77.138723 4.83921, -77.139031 4.83873, -77.140525 4.837338, -77.140538 4.834843, -77.140551",
106,The Choco-Darien Conservation Corridor REDD Project,VCS856,Verra,VM0009,AD,Colombia,Anthrotect,10/18/2010,10/17/2040,10/25/2023,Method,N/A,Polygon,"MULTIPOLYGON (((-77.208179 8.292208, -77.208408 8.292006, -77.208493 8.291765, -77.20904 8.291514, -77.209271 8.291685, -77.209245 8.291867, -77.20933 8.291857, -77.20942 8.292545, -77.208907 8.293495, -77.208837 8.294144, -77.20954 8.296298, -77.20972 8","MULTIPOLYGON (((-77.348315 8.346842, -77.348315 8.346303, -77.348584 8.346303, -77.348584 8.346034, -77.348655 8.346034, -77.348854 8.346231, -77.348854 8.346303, -77.348926 8.346303, -77.349123 8.346499, -77.349123 8.346573, -77.348854 8.346573, -77.348",
107,Yaawi Iipana REDD+ Project,ER102,EcoRegistry,CERCARBONO,AD,Colombia,Biofix Consultoria LTDA,01/01/2016,12/31/2045,07/25/2023,Official,N/A,Polygon,"MULTIPOLYGON Z (((-71.24644 1.672514 0, -71.246471 1.672514 0, -71.246464 1.672509 0, -71.24644 1.672492 0, -71.24644 1.672514 0)), ((-71.241311 1.676566 0, -71.241318 1.676566 0, -71.241318 1.676565 0, -71.241311 1.676566 0)), ((-71.240779 1.677107 0, -",,
108,"Yagual - Carbon Sequestration Grouped Project for the Restoration, Conservation and Sustainable Production in the Guerrero, Sumapaz and Rabanal Paramo Systems",VCS1869,Verra,AR-ACM0003,ARR,Colombia,Terra Integrity,12/19/2018,12/18/2048,10/24/2023,Georeferenced,Yes,Polygon,"MULTIPOLYGON (((-74.657949 3.499339, -74.657587 3.498977, -74.657587 3.498615, -74.657406 3.498253, -74.657225 3.497891, -74.657044 3.497528, -74.656863 3.496985, -74.656682 3.496623, -74.656501 3.496261, -74.65632 3.495899, -74.65632 3.495537, -74.65595",,
109,Afforestation and Restoration of Degraded Forests in Eastern Paraguay or Forestal Azul Carbon Project,VCS2469,Verra,AR-ACM0003,ARR,Paraguay,Forestal Azul SA,06/01/2018,05/31/2028,10/19/2023,Official,N/A,Polygon,"MULTIPOLYGON (((-56.56819 -23.886922, -56.570253 -23.935236, -56.570371 -23.943566, -56.570475 -23.945187, -56.572293 -23.978464, -56.572623 -23.978466, -56.572725 -23.978467, -56.582455 -23.978535, -56.582948 -23.978538, -56.587888 -23.978572, -56.59324",,
110,Afforestation in Cooperation with Local Landowners for Forestal San Pedro S.A.,VCS2361,Verra,AR-ACM0003,ARR,Paraguay,Forestal San Pedro,04/05/2015,04/04/2035,10/23/2023,Official,N/A,Polygon,"MULTIPOLYGON (((-55.027797 -24.452821, -55.012806 -24.45629, -55.012785 -24.456298, -55.012783 -24.456318, -55.01283 -24.457372, -55.012834 -24.457388, -55.012852 -24.457387, -55.02793 -24.453892, -55.027947 -24.453885, -55.027948 -24.453868, -55.027824",,
111,Afforestation of Degraded Grasslands in Caazapa and Guaira,VCS2498,Verra,AR-ACM0003,ARR,Paraguay,Miller Forest Investment AG,01/13/2016,01/12/2046,10/19/2023,Official,N/A,Polygon,"MULTIPOLYGON (((-56.642926 -26.428851, -56.647745 -26.429273, -56.646757 -26.426831, -56.641404 -26.42636, -56.642926 -26.428851)), ((-56.642635 -26.428826, -56.641114 -26.426334, -56.637249 -26.425994, -56.639041 -26.428511, -56.642635 -26.428826)), ((-",,
112,Impact Reforestation in the Chaco Project,VCS2496,Verra,AR-ACM0003,ARR,Paraguay,Investancia Paraguay S.A.,01/01/2022,12/31/2051,05/01/2024,Official,N/A,Polygon,"MULTIPOLYGON Z (((-58.187967 -21.420227 0, -58.187965 -21.422446 0, -58.198726 -21.422406 0, -58.198747 -21.420188 0, -58.187967 -21.420227 0)))",,
113,Southern Paraguay Sustainable Afforestation Project,VCS2556,Verra,AR-ACM0003,ARR,Paraguay,South Pole Carbon Asset Management S.A.S.,11/18/2016,11/17/2046,03/19/2024,Official,N/A,Polygon,"MULTIPOLYGON (((-56.53492 -27.08606, -56.532918 -27.086365, -56.532994 -27.08708, -56.535173 -27.086574, -56.535036 -27.08612, -56.53492 -27.08606)), ((-56.537813 -27.085812, -56.537673 -27.085719, -56.537311 -27.085704, -56.535385 -27.086071, -56.535392",,
114,The Paraguay Forest Conservation Project,VCS1403,Verra,VM0007,AD,Paraguay,Swire Pacific Offshore Operations (Pte) Ltd.,10/31/2010,10/30/2030,10/27/2023,Official,N/A,Polygon,"MULTIPOLYGON Z (((-56.026647 -26.844 0, -56.010449 -26.866309 0, -56.005206 -26.866087 0, -56.002523 -26.867237 0, -55.99882 -26.870344 0, -55.993708 -26.87196 0, -55.989488 -26.872309 0, -55.983225 -26.873695 0, -55.978877 -26.873244 0, -55.975423 -26.8","MULTIPOLYGON (((-55.849825 -26.46794, -55.848512 -26.468426, -55.847704 -26.46875, -55.84747 -26.468851, -55.847018 -26.468965, -55.84657 -26.469085, -55.846331 -26.469159, -55.845951 -26.469308, -55.845324 -26.469664, -55.844967 -26.46982, -55.844832 -2",
115,The Paraguay Forest Conservation Project - Reduction of GHG Emissions from Deforestation and Forest Degradation in the Chaco-Pantanal Ecosystem,VCS953,Verra,VM0007,AD,Paraguay,Swire Pacific Offshore Operations (Pte) Ltd.,02/25/2011,02/24/2031,10/27/2023,Official,N/A,Polygon,"MULTIPOLYGON Z (((-58.556187 -20.3654 0, -58.582992 -20.36509 0, -58.583087 -20.317913 0, -58.577454 -20.31791 0, -58.577648 -20.225108 0, -58.545185 -20.225088 0, -58.545711 -20.24372 0, -58.547004 -20.289466 0, -58.546958 -20.308432 0, -58.555267 -20.3",,
116,Alto Huayabamba,VCS796,Verra,AR-AMS0001,ARR,Peru,PUR Project,04/01/2008,03/31/2048,08/14/2023,Linear,N/A,Polygon,"MULTIPOLYGON (((-76.648915 -7.660289, -76.6489 -7.660273, -76.648885 -7.66026, -76.648884 -7.660259, -76.648826 -7.6602, -76.648801 -7.660165, -76.648782 -7.660144, -76.648761 -7.660116, -76.648761 -7.660116, -76.648745 -7.66009, -76.648741 -7.660083, -7",,
117,Alto Mayo Conservation Initiative,VCS944,Verra,VM0015,AD,Peru,Conservation International,06/15/2008,06/14/2028,10/03/2023,Official,N/A,Polygon,"MULTIPOLYGON Z (((-77.199584 -6.18552 0, -77.200681 -6.185268 0, -77.201832 -6.18442 0, -77.202699 -6.183446 0, -77.202948 -6.182949 0, -77.202976 -6.182231 0, -77.202472 -6.180797 0, -77.202498 -6.17958 0, -77.202677 -6.178 0, -77.202983 -6.176571 0, -7",,
118,Biocorredor Martin Sagrado REDD+ Project,VCS958,Verra,VM0015,AD,Peru,PUR Project,01/01/2010,12/31/2049,10/26/2023,Official,N/A,Polygon,"MULTIPOLYGON (((-77.507004 -7.088452, -77.506997 -7.087097, -77.507268 -7.087095, -77.507263 -7.086011, -77.506991 -7.086012, -77.50699 -7.085741, -77.506175 -7.085746, -77.506177 -7.086017, -77.505906 -7.086018, -77.505907 -7.086289, -77.505636 -7.08629",,
119,Brazil Nut Concessions,VCS868,Verra,VM0007,AD,Peru,Bosques Amazonicos SAC,01/01/2010,12/31/2040,07/20/2023,Georeferenced,Yes,Polygon,"MULTIPOLYGON Z (((-69.24042 -11.488149 0, -69.245728 -11.479407 0, -69.265899 -11.47939 0, -69.265903 -11.483704 0, -69.26591 -11.490438 0, -69.265912 -11.492856 0, -69.267854 -11.490716 0, -69.268623 -11.489869 0, -69.269929 -11.490383 0, -69.288822 -11","MULTIPOLYGON (((-70.153465 -12.355429, -70.168529 -12.355844, -70.170803 -12.35256, -70.174074 -12.349735, -70.176305 -12.348099, -70.180767 -12.348247, -70.182849 -12.345719, -70.184931 -12.344529, -70.186249 -12.344529, -70.186584 -12.306607, -70.13972",
120,Cordillera Azul National Park REDD Project,VCS985,Verra,VM0007,AD,Peru,"Centro de Conservation, Investigacion y Manejo de Areas Naturales - Cordillera Azul",08/08/2008,08/07/2028,10/27/2023,Georeferenced,Yes,Polygon,"MULTIPOLYGON Z (((-75.756768 -8.051227 0, -75.756768 -8.051498 0, -75.757041 -8.051497 0, -75.75704 -8.051226 0, -75.756768 -8.051227 0)), ((-76.254787 -8.121628 0, -76.254788 -8.121899 0, -76.25506 -8.121898 0, -76.255059 -8.121627 0, -76.256693 -8.1216","MULTIPOLYGON Z (((-75.75704 -8.051226 0, -75.756768 -8.051227 0, -75.756768 -8.051498 0, -75.757041 -8.051497 0, -75.75704 -8.051226 0)), ((-76.256693 -8.121622 0, -76.256692 -8.12135 0, -76.257508 -8.121348 0, -76.257507 -8.121077 0, -76.258324 -8.12107",
121,"Evio Kuinaji Ese`Eja Cuana, to Mitigate Climate Change, Madre de Dios - Peru",VCS1218,Verra,VM0007,AD,Peru,PUR Project,07/01/2011,06/30/2031,10/26/2023,Official,N/A,Polygon,"MULTIPOLYGON (((-69.349897 -12.774284, -69.34953 -12.774827, -69.34907 -12.77528, -69.349347 -12.775913, -69.3499 -12.776274, -69.350176 -12.776002, -69.350452 -12.775369, -69.350235 -12.774523, -69.349759 -12.773749, -69.349621 -12.774161, -69.348239 -1",,
122,Forest Management in Shipibo Conibo and Cacataibo Communities,VCS1360,Verra,VM0015,AD,Peru,Association for Research and Integral Development,07/01/2010,06/30/2030,07/26/2023,Official,N/A,Polygon,"MULTIPOLYGON Z (((-75.393742 -9.447372 0, -75.393743 -9.447657 0, -75.393791 -9.447686 0, -75.394093 -9.447685 0, -75.393846 -9.447465 0, -75.393819 -9.447441 0, -75.393744 -9.447373 0, -75.393742 -9.447372 0)), ((-75.402739 -9.446756 0, -75.40259 -9.446",,
123,"Forest Management to Mitigate Climate Change in the Native Community of Belgica, Madre de Dios Region - Peru",VCS1799,Verra,VM0015,AD,Peru,Association for Research and Integral Development,07/01/2017,06/30/2037,10/24/2023,Official,N/A,Polygon,"MULTIPOLYGON (((-69.667374 -11.011213, -69.668428 -11.028507, -69.665462 -11.033838, -69.669465 -11.037948, -69.673789 -11.037844, -69.678064 -11.037159, -69.687157 -11.042252, -69.696182 -11.037704, -69.703912 -11.044155, -69.708212 -11.056363, -69.7220",,
124,Green Gold Loreto 1,VCS2345,Verra,VM0010,IFM,Peru,Green Gold Forestry Peru S.A.,08/01/2020,07/31/2040,10/23/2023,Georeferenced,Yes,Polygon,"MULTIPOLYGON Z (((-74.025551 -4.288769 0, -73.841361 -4.290599 0, -73.84197 -4.450393 0, -73.863317 -4.440025 0, -73.874295 -4.435145 0, -73.893812 -4.435145 0, -73.910279 -4.421728 0, -73.921258 -4.40831 0, -73.940774 -4.396112 0, -73.946873 -4.392452 0",,
125,Jubilación Segura : Agroforestry And Reforestation With Smallscale Farmers in Peru,VCS1496,Verra,AR-AMS0007,ARR,Peru,PUR Project,01/01/2010,12/31/2069,08/14/2023,Linear,N/A,Polygon,"MULTIPOLYGON (((-76.821151 -7.798209, -76.821108 -7.798117, -76.821114 -7.798142, -76.821136 -7.798188, -76.821151 -7.798209)), ((-76.821104 -7.798101, -76.821101 -7.79809, -76.821098 -7.79808, -76.821071 -7.798, -76.821066 -7.797985, -76.821067 -7.79798",,
126,Madre de Dios Amazon REDD+ Project,VCS844,Verra,VM0007,AD,Peru,Greenoxx Sociedad Civil,01/01/2009,12/31/2046,08/16/2023,Official,N/A,Polygon,"MULTIPOLYGON Z (((-69.976175 -10.949652 0, -69.975278 -10.949709 0, -69.974771 -10.949611 0, -69.974159 -10.949495 0, -69.972807 -10.948568 0, -69.971565 -10.947713 0, -69.971037 -10.947498 0, -69.970115 -10.947121 0, -69.969163 -10.946735 0, -69.969072",,
127,Planting for the Future: Financially Sustainable Agroforestry Systems and Payments for Ecosystem Services,VCS1351,Verra,AR-ACM0003,ARR,Peru,Plant Your Future,01/16/2012,01/15/2042,10/30/2023,Official,N/A,Polygon,"MULTIPOLYGON Z (((-73.428912 -4.016864 0, -73.429415 -4.017534 0, -73.430218 -4.016776 0, -73.429588 -4.016241 0, -73.428912 -4.016864 0)), ((-73.429372 -4.01625 0, -73.429967 -4.016097 0, -73.43004 -4.01551 0, -73.42922 -4.015743 0, -73.429372 -4.01625",,
128,REDD+ Project in the Alto Huayabamba Conservation Concession (CCAH),VCS1882,Verra,VM0015,AD,Peru,South Pole Carbon Asset Management S.A.S.,10/30/2013,12/31/2047,08/14/2023,Official,N/A,Polygon,"MULTIPOLYGON (((-77.412965 -7.590244, -77.412966 -7.590515, -77.412695 -7.590517, -77.412698 -7.591059, -77.412426 -7.591061, -77.412428 -7.591332, -77.412156 -7.591333, -77.412159 -7.591875, -77.411887 -7.591877, -77.411889 -7.592148, -77.411617 -7.5921",,
129,Reduction of Deforestation and Degradation in Tambopata National Reserve and Bahuaja-Sonene National Park within the area of Madre de Dios Region - Peru,VCS1067,Verra,VM0007,AD,Peru,Association for Research and Integral Development,07/01/2010,06/30/2030,10/30/2023,Georeferenced,Yes,Polygon,"MULTIPOLYGON (((-70.215583 -13.169505, -70.21449 -13.169073, -70.214146 -13.1695, -70.213494 -13.17001, -70.212415 -13.170022, -70.211478 -13.169239, -70.21098 -13.16867, -70.210743 -13.167982, -70.209841 -13.168789, -70.208964 -13.168978, -70.208323 -13",,
130,"Reforestation of Pasture Lands on the Peruvian Northern Andes - ""Forestry PRODICOM"" Grouped Project",VCS1397,Verra,AR-AMS0007,ARR,Peru,Societe de Cooperation pour le Development International,03/01/2015,02/28/2050,10/27/2023,Georeferenced,Yes,Polygon,"MULTIPOLYGON (((-77.798949 -7.823001, -77.798178 -7.822744, -77.797623 -7.822929, -77.797192 -7.823299, -77.797716 -7.823967, -77.797932 -7.82444, -77.798178 -7.824984, -77.798661 -7.82519, -77.799175 -7.824727, -77.799381 -7.823895, -77.799093 -7.823134",,
131,"Reforestation of Pastures in Campo Verde with Native Species, Pucallapa, Peru",VCS658,Verra,AR-AM0003,ARR,Peru,Bosques Amazonicos SAC,12/23/2007,12/22/2037,10/25/2023,Georeferenced,Yes,Polygon,"MULTIPOLYGON (((-74.801202 -8.584768, -74.801211 -8.584173, -74.797004 -8.584237, -74.796805 -8.584967, -74.796676 -8.584948, -74.796437 -8.584881, -74.796435 -8.584881, -74.796433 -8.58488, -74.796186 -8.584847, -74.796181 -8.584846, -74.79598 -8.584846","MULTIPOLYGON (((-74.781058 -8.598544, -74.78107 -8.598544, -74.781082 -8.598544, -74.781095 -8.598545, -74.781103 -8.598545, -74.781111 -8.598545, -74.781124 -8.598546, -74.781136 -8.598546, -74.781144 -8.598546, -74.781153 -8.598547, -74.781165 -8.59854",
132,"Reforestation of Pastures in Sociedad Agricola de Interes Social ""Jose Carlos Mariategui - Joven Forestal Project, Peru""",VCS687,Verra,AR-ACM0001,ARR,Peru,ADEFOR (Civil Association for Forestry Research and Development),03/17/2008,03/16/2038,10/23/2023,Official,N/A,Polygon,"MULTIPOLYGON Z (((-78.367612 -7.486307 0, -78.367576 -7.486162 0, -78.367459 -7.486179 0, -78.367404 -7.486179 0, -78.367386 -7.486233 0, -78.367422 -7.486297 0, -78.367467 -7.486315 0, -78.367612 -7.486307 0)), ((-78.367993 -7.486083 0, -78.367912 -7.48",,
134,Tahuamanu Amazon REDD Project,VCS2502,Verra,VM0006,AD,Peru,Maderera Rio Acre SAC,04/19/2017,04/18/2047,10/30/2023,Official,N/A,Polygon,"MULTIPOLYGON Z (((-70.007764 -11.293097 0, -70.00775 -11.293908 0, -70.008023 -11.293912 0, -70.008019 -11.294183 0, -70.008293 -11.294187 0, -70.008283 -11.294728 0, -70.008557 -11.294732 0, -70.008534 -11.296084 0, -70.008807 -11.296088 0, -70.008765 -",,"MULTIPOLYGON Z (((-69.675747 -11.401952 0, -69.675484 -11.401943 0, -69.657617 -11.401984 0, -69.651 -11.401999 0, -69.651 -11.402003 0, -69.65102 -11.411042 0, -69.657619 -11.411004 0, -69.675769 -11.410995 0, -69.675747 -11.401952 0)), ((-70.030724 -11"
135,The Jaguar Amazon REDD+ Project,VCS2278,Verra,VM0006,AD,Peru,Greenoxx Sociedad Civil,01/01/2018,12/31/2041,07/28/2023,Official,N/A,Polygon,"MULTIPOLYGON (((-69.669423 -11.381476, -69.66986 -11.380961, -69.670544 -11.378808, -69.671109 -11.378109, -69.673438 -11.377192, -69.675584 -11.376836, -69.676864 -11.374975, -69.680128 -11.372895, -69.68174 -11.370992, -69.682555 -11.370611, -69.683468",,
136,Yacumama Forest Carbon Project,VCS1133,Verra,VM0007,AD,Peru,Yacumama,01/01/2012,12/31/2041,08/14/2023,Georeferenced,Yes,Polygon,"MULTIPOLYGON (((-73.385292 -4.570853, -73.365206 -4.611468, -73.375692 -4.616489, -73.376431 -4.616711, -73.377095 -4.616784, -73.377317 -4.617671, -73.377095 -4.618926, -73.376357 -4.619221, -73.375101 -4.619, -73.37488 -4.619517, -73.375692 -4.619812,","MULTIPOLYGON (((-73.442227 -4.570853, -73.434293 -4.570853, -73.434206 -4.571288, -73.433742 -4.571491, -73.433393 -4.571491, -73.433451 -4.570881, -73.434271 -4.570853, -73.385292 -4.570853, -73.365206 -4.611468, -73.375692 -4.616489, -73.376431 -4.6167",
137,Bosques del Uruguay 2 (BDU 2) Afforestation through High Quality Timber in Grasslands Project,VCS2411,Verra,AR-ACM0003,ARR,Uruguay,Agroempresa Forestal S.A. (AF),03/25/2016,03/24/2076,10/20/2023,Official,No,Polygon,"MULTIPOLYGON (((-54.900805 -33.516074, -54.900845 -33.516233, -54.900878 -33.516369, -54.900914 -33.516358, -54.900935 -33.516352, -54.900941 -33.516367, -54.900958 -33.516419, -54.900967 -33.516463, -54.900976 -33.516503, -54.901009 -33.516496, -54.9010",,
138,Bosques del Uruguay Afforestation through High Quality Timber in Grasslands Project,VCS1543,Verra,AR-ACM0003,ARR,Uruguay,Agroempresa Forestal S.A. (AF),05/30/2012,05/29/2072,10/26/2023,Official,N/A,Polygon,"MULTIPOLYGON (((-55.500233 -33.761122, -55.500109 -33.761174, -55.500206 -33.761383, -55.500244 -33.761465, -55.501838 -33.764429, -55.503629 -33.767761, -55.503638 -33.767778, -55.503935 -33.768332, -55.503971 -33.768398, -55.504135 -33.768704, -55.5042",,
139,El Arriero afforestation on degraded grasslands under extensive grazing,VCS961,Verra,AR-ACM0001,ARR,Uruguay,Forestal El Arriero SRL,04/30/2009,04/29/2109,08/09/2023,Georeferenced,Yes,Polygon,"MULTIPOLYGON (((-54.650281 -33.387295, -54.650179 -33.387164, -54.649581 -33.387039, -54.64774 -33.386584, -54.645065 -33.385834, -54.641195 -33.384774, -54.640077 -33.384459, -54.639511 -33.385753, -54.639299 -33.386293, -54.639031 -33.386871, -54.63881",,
140,Forteko afforestation on degraded grasslands under extensive grazing,VCS962,Verra,AR-ACM0001,ARR,Uruguay,Forestal Tekoayhu,07/31/2007,07/30/2107,08/09/2023,Official,N/A,Polygon,"MULTIPOLYGON (((-55.288601 -32.829159, -55.288708 -32.829192, -55.288831 -32.829252, -55.288832 -32.829356, -55.288806 -32.82946, -55.288878 -32.829537, -55.289155 -32.829536, -55.28921 -32.829447, -55.289341 -32.829399, -55.289481 -32.829379, -55.289586",,
141,Guanaré Forest Plantation,VCS959,Verra,AR-ACM0001,ARR,Uruguay,Guanaré SA,04/24/2006,04/24/2066,07/13/2023,Official,N/A,Polygon,"MULTIPOLYGON Z (((-54.57629 -33.1251 0, -54.577245 -33.134832 0, -54.580045 -33.13689 0, -54.580791 -33.138697 0, -54.594436 -33.138108 0, -54.599212 -33.115041 0, -54.593711 -33.114916 0, -54.586499 -33.114752 0, -54.586808 -33.111116 0, -54.586992 -33.",,
142,HG Afforestation Through High Quality Timber Over Degraded Grasslands,VCS2992,Verra,AR-ACM0003,ARR,Uruguay,Pike Carbosur S.A.,10/08/2020,10/08/2120,05/02/2024,Official,N/A,Polygon,"MULTIPOLYGON Z (((-54.534713 -33.107342 0, -54.53432 -33.110941 0, -54.534209 -33.111364 0, -54.533793 -33.112787 0, -54.53355 -33.113595 0, -54.534756 -33.113516 0, -54.534686 -33.112939 0, -54.535281 -33.112884 0, -54.539506 -33.112447 0, -54.540172 -3",,
143,ITAA afforestation on degraded grasslands under extensive grazing,VCS965,Verra,AR-ACM0001,ARR,Uruguay,Intercontinental Timber Asociación Agraria de Responsabilidad Limitada,12/19/2007,12/18/2107,08/09/2023,Official,N/A,Polygon,"MULTIPOLYGON Z (((-55.235541 -34.738082 0, -55.235528 -34.738057 0, -55.235433 -34.738027 0, -55.235338 -34.738 0, -55.23519 -34.737991 0, -55.235143 -34.737969 0, -55.235037 -34.737834 0, -55.234972 -34.737812 0, -55.23492 -34.737836 0, -55.234889 -34.7",,
144,Iberpapel silvipastural system on degraded land,VCS920,Verra,AR-ACM0001,ARR,Uruguay,Los Eucaliptus S.A.,09/10/2004,09/09/2064,08/11/2023,Georeferenced,Yes,Polygon,"MULTIPOLYGON (((-55.563326 -34.695514, -55.56782 -34.695008, -55.565098 -34.68678, -55.562061 -34.688109, -55.559212 -34.687982, -55.549529 -34.690261, -55.551554 -34.692603, -55.555288 -34.695767, -55.556364 -34.696463, -55.556491 -34.69735, -55.556428",,
145,Lumin/Eucapine Uruguay Forest Plantations on degraded grasslands under extensive grazing,VCS960,Verra,AR-ACM0001,ARR,Uruguay,Weyerhaeuser Uruguay,02/22/2006,02/21/2106,08/09/2023,Official,N/A,Polygon,"MULTIPOLYGON Z (((-54.675565 -33.260136 0, -54.673772 -33.222189 0, -54.655762 -33.225123 0, -54.658321 -33.236548 0, -54.659698 -33.241898 0, -54.659284 -33.246844 0, -54.656798 -33.254692 0, -54.648743 -33.253291 0, -54.646237 -33.258935 0, -54.64812 -",,
146,Montes del Este Afforestation Through High Quality Timber in Degraded Grasslands,VCS2576,Verra,AR-ACM0003,ARR,Uruguay,Fideicomiso Financiero Forestal Montes del Este,10/30/2016,10/29/2076,05/01/2024,Official,N/A,Polygon,"MULTIPOLYGON Z (((-54.845274 -32.786825 0, -54.845445 -32.786819 0, -54.845595 -32.786776 0, -54.845825 -32.786748 0, -54.845863 -32.786736 0, -54.846121 -32.786677 0, -54.846303 -32.786644 0, -54.846495 -32.78662 0, -54.846496 -32.78662 0, -54.846572 -3",,
